ablation,description,trial,llc,num_params,max_seq_len,vocab_range
full_model,Full model (baseline),1,26.1296,3090,10,medium
full_model,Full model (baseline),2,28.8803,3090,10,medium
full_model,Full model (baseline),3,27.2822,3090,10,medium
no_layer_0,Remove layer 0,1,24.3248,3090,10,medium
no_layer_0,Remove layer 0,2,24.1669,3090,10,medium
no_layer_0,Remove layer 0,3,23.7894,3090,10,medium
no_layer_1,Remove layer 1,1,17.6150,3090,10,medium
no_layer_1,Remove layer 1,2,18.7478,3090,10,medium
no_layer_1,Remove layer 1,3,16.7848,3090,10,medium
no_attn_L0,No attention in layer 0,1,24.3723,3090,10,medium
no_attn_L0,No attention in layer 0,2,26.5423,3090,10,medium
no_attn_L0,No attention in layer 0,3,26.1359,3090,10,medium
no_attn_L1,No attention in layer 1,1,18.6400,3090,10,medium
no_attn_L1,No attention in layer 1,2,17.5401,3090,10,medium
no_attn_L1,No attention in layer 1,3,18.0008,3090,10,medium
no_mlp_L0,No MLP in layer 0,1,26.2656,3090,10,medium
no_mlp_L0,No MLP in layer 0,2,26.7690,3090,10,medium
no_mlp_L0,No MLP in layer 0,3,27.7515,3090,10,medium
no_mlp_L1,No MLP in layer 1,1,26.1474,3090,10,medium
no_mlp_L1,No MLP in layer 1,2,27.4410,3090,10,medium
no_mlp_L1,No MLP in layer 1,3,26.8042,3090,10,medium
