Average LLC,num_blocks,num_params,vocab,max_input_size
8.2891,2,2258,a-e,10
8.7613,2,2258,a-e,10
8.4911,2,2258,a-e,10
8.3684,2,2258,a-e,10
8.1260,2,2258,a-e,10
9.3642,2,3090,a-m,10
9.8553,2,3090,a-m,10
9.6194,2,3090,a-m,10
10.2361,2,3090,a-m,10
10.0912,2,3090,a-m,10
13.7571,2,4338,a-z,10
13.4389,2,4338,a-z,10
14.0991,2,4338,a-z,10
13.6398,2,4338,a-z,10
13.8341,2,4338,a-z,10
13.5015,2,26178,a-e,50
14.4288,2,26178,a-e,50
14.4603,2,26178,a-e,50
14.6600,2,26178,a-e,50
14.3807,2,26178,a-e,50
13.5470,2,29570,a-m,50
15.0032,2,29570,a-m,50
13.9542,2,29570,a-m,50
15.1090,2,29570,a-m,50
15.2159,2,29570,a-m,50
16.3104,2,34658,a-z,50
15.5869,2,34658,a-z,50
15.8667,2,34658,a-z,50
16.0645,2,34658,a-z,50
15.1737,2,34658,a-z,50
